ATLAS_ID,Nnondet_std,Nnondet_mean,magdet_std,DET_Nsince_min5d,NON_Nsince_min5d,log10_std_ra_min5d,log10_std_dec_min5d,DET_mag_median_min5d,ra,dec,rb_pix,z,photoz,ebv_sfd,log10_sep_arcsec,CV
1165230350434551500,0.408248290463863,0.1666666666666666,0.1564602490213087,7,13,-3.784739800417541,-3.822671431388568,19.02,253.12669,-43.76429,0.994381,,,21.826149,,False
1171937040575121100,0.0,0.0,0.2030657454365386,12,0,-4.148680309068165,-4.1022443156915465,17.539,259.90448,-57.8558,0.999091,,,0.147651,,False
1235748181295351500,24.91117553763103,17.833333333333332,0.2575790493550804,3,13,-3.768053505409492,-3.281892164393766,19.003,359.45074,29.8967,0.37329,,,0.04697545,,False
1173604300290705100,8.99554964523644,6.590909090909091,18.499466031664536,7,8,-4.5172087824729,-4.385384648384225,18.126,264.01878,-29.11789,0.950215,,,2.0530388,0.382885997116257,False
1144411811190114000,8.965844279060597,3.75,1.4481484390473096,9,0,-3.951352059481151,-4.330163884199836,15.975,221.04849,19.02023,0.964379,0.044547,0.02508,0.03648653,-0.2142211908891353,False
1182655000220305100,4.15417174141162,2.571428571428572,0.4065290418958528,7,0,-4.228261617403252,-3.896202049045452,16.943,276.72919,-22.05196,0.37065,,,0.556257,0.2296726742410418,False
1172519680280725200,0.0,0.0,0.0838671568613127,5,4,-3.406493596500364,-3.606021938361729,15.984,261.33135,-28.12328,0.969967,,,1.3142766,0.3081700078852675,False
1174917120234751700,7.847504911329036,4.25,0.3331479901385167,4,23,-3.334700118487472,-3.779283362081795,17.794,267.3223,-23.79762,0.688873,,,1.7957623,0.1760678033943924,False
1122833780432127700,0.0,0.0,0.2112352558957267,4,4,-3.426419579447004,-3.583745543648852,18.592,187.14106,-43.35754,0.970531,,,0.09177353,,False
1175215530293708500,21.35883891975404,9.8,0.6118959878933671,4,12,-3.720096543308786,-4.143745298507844,18.2945,268.06493,-29.61989,0.617347,,,1.2103022,0.2958682983156939,False
1131629591334045400,34.74686236834118,15.3,0.2866375178978972,7,24,-3.748591426732324,-3.7963247842202494,18.682,199.12312,33.67847,0.701821,0.0778162,,0.011738274,-0.2319950448964577,False
1203107620342122200,0.7071067811865476,0.5,0.0957096303061155,3,9,-4.245174760057045,-3.897488089177969,19.242,307.78171,-34.35623,0.989876,,,0.040860347,1.503819308735057,False
1232343291304707800,8.680117766738217,7.3,0.371042989423059,4,13,-3.16613736279033,-3.568536968527712,19.306,350.9309,30.78522,0.68721,,,0.1351512,,False
1135411970533328600,0.0,0.0,0.1016005249330285,6,4,-4.201884776184542,-4.502914771814537,18.963,208.54982,-53.558,0.999646,,,0.47013724,,False
1141555290354435800,0.5773502691896258,0.6666666666666666,0.1839284281090515,4,15,-3.7054442677963935,-3.519923228652279,19.6865,213.98012,-35.74309,0.304787,,,0.06451792,,False
1182831531211523800,0.5773502691896258,0.3333333333333333,0.2636734091004755,4,14,-3.6446945391693,-3.469981772955824,18.71,277.1314,21.25662,0.544497,,,0.17261519,0.4795891345335951,False
1102308181711111900,1.2583057392117916,1.25,0.0867179335547154,3,3,-3.3788535475131414,-3.958009935539028,19.71,155.78297,71.18599,0.484427,,,0.096956074,,False
1233145321461516000,0.0,0.0,0.1767267193531658,3,5,-3.4435300119585794,-3.627332459023938,18.952,352.93933,46.25418,0.979113,,0.040835,0.15279788,1.3638989406522222,False
